SalesID,Product,Region,Sales,Year
1001,Laptop,North,75000,2020
1002,Mobile,South,45000,2020
1003,Tablet,East,30000,2020
1004,Monitor,West,28000,2020
1005,Keyboard,North,8500,2020
1006,Mouse,South,4500,2020
1007,Printer,East,22000,2020
1008,Headphones,West,6500,2020
1009,Laptop,South,82000,2020
1010,Mobile,North,52000,2020
1011,Tablet,West,34000,2020
1012,Monitor,East,31000,2020
1013,Keyboard,South,9000,2020
1014,Mouse,North,5000,2020
1015,Printer,West,25000,2020
1016,Headphones,East,7200,2020
1017,Laptop,East,88000,2021
1018,Mobile,West,48000,2021
1019,Tablet,North,36000,2021
1020,Monitor,South,29500,2021
1021,Keyboard,East,9500,2021
1022,Mouse,West,5200,2021
1023,Printer,North,24000,2021
1024,Headphones,South,6800,2021
1025,Laptop,West,91000,2021
1026,Mobile,East,55000,2021
1027,Tablet,South,32000,2021
1028,Monitor,North,33000,2021
1029,Keyboard,West,8700,2021
1030,Mouse,East,4900,2021
1031,Printer,South,27000,2021
1032,Headphones,North,7500,2021
1033,Laptop,North,95000,2022
1034,Mobile,South,58000,2022
1035,Tablet,East,39000,2022
1036,Monitor,West,35000,2022
1037,Keyboard,North,10200,2022
1038,Mouse,South,5600,2022
1039,Printer,East,29000,2022
1040,Headphones,West,8000,2022
1041,Laptop,South,87000,2022
1042,Mobile,North,61000,2022
1043,Tablet,West,41000,2022
1044,Monitor,East,37000,2022
1045,Keyboard,South,9800,2022
1046,Mouse,North,5800,2022
1047,Printer,West,31000,2022
1048,Headphones,East,8500,2022
1049,Laptop,East,99000,2023
1050,Mobile,West,63000,2023
1051,Tablet,North,43000,2023
1052,Monitor,South,39000,2023
1053,Keyboard,East,11000,2023
1054,Mouse,West,6000,2023
1055,Printer,North,33000,2023
1056,Headphones,South,9000,2023
1057,Laptop,West,105000,2023
1058,Mobile,East,67000,2023
1059,Tablet,South,45000,2023
1060,Monitor,North,42000,2023
1061,Keyboard,West,11500,2023
1062,Mouse,East,6200,2023
1063,Printer,South,35000,2023
1064,Headphones,North,9500,2023
1065,Laptop,North,110000,2024
1066,Mobile,South,70000,2024
1067,Tablet,East,47000,2024
1068,Monitor,West,44000,2024
1069,Keyboard,North,12000,2024
1070,Mouse,South,6500,2024
1071,Printer,East,37000,2024
1072,Headphones,West,10000,2024
